state,electoral_votes,trump_2016,clinton_2016,winner_2016
Alabama,9,9,0,Trump
Alaska,3,3,0,Trump
Arizona,11,11,0,Trump
Arkansas,6,6,0,Trump
California,55,0,55,Clinton
Colorado,9,0,9,Clinton
Connecticut,7,0,7,Clinton
Delaware,3,0,3,Clinton
District of Columbia,3,0,3,Clinton
Florida,29,29,0,Trump
Georgia,16,16,0,Trump
Hawaii,4,0,3,Clinton
Idaho,4,4,0,Trump
Illinois,20,0,20,Clinton
Indiana,11,11,0,Trump
Iowa,6,6,0,Trump
Kansas,6,6,0,Trump
Kentucky,8,8,0,Trump
Louisiana,8,8,0,Trump
Maine,4,1,3,Clinton
Maryland,10,0,10,Clinton
Massachusetts,11,0,11,Clinton
Michigan,16,16,0,Trump
Minnesota,10,0,10,Clinton
Mississippi,6,6,0,Trump
Missouri,10,10,0,Trump
Montana,3,3,0,Trump
Nebraska,5,5,0,Trump
Nevada,6,0,6,Clinton
New Hampshire,4,0,4,Clinton
New Jersey,14,0,14,Clinton
New Mexico,5,0,5,Clinton
New York,29,0,29,Clinton
North Carolina,15,15,0,Trump
North Dakota,3,3,0,Trump
Ohio,18,18,0,Trump
Oklahoma,7,7,0,Trump
Oregon,7,0,7,Clinton
Pennsylvania,20,20,0,Trump
Rhode Island,4,0,4,Clinton
South Carolina,9,9,0,Trump
South Dakota,3,3,0,Trump
Tennessee,11,11,0,Trump
Texas,38,36,0,Trump
Utah,6,6,0,Trump
Vermont,3,0,3,Clinton
Virginia,13,0,13,Clinton
Washington,12,0,8,Clinton
West Virginia,5,5,0,Trump
Wisconsin,10,10,0,Trump
Wyoming,3,3,0,Trump
Total,538,304,227,Trump
